source_id_1,TYC_ID_1,ra_1,dec_1,mu_ra_1,mu_dec_1,mu_ra_err_1,mu_dec_err_1,plx_1,plx_err_1,source_id_2,TYC_ID_2,ra_2,dec_2,mu_ra_2,mu_dec_2,mu_ra_err_2,mu_dec_err_2,plx_2,plx_err_2,P_log_flat,P_power_law,theta
1914180096768661888,2759-18-1,346.886164809,33.782817951,-28.921,-20.379,0.789,0.334,3.083,0.268,1914184185577525248,2759-1252-1,346.729407093,33.839362643,-29.987,-20.284,0.859,0.336,2.839,0.334,0.997,0.8402,511.17
2665097026156407552,582-1828-1,346.928805508,6.604458809,59.376,0.834,2.323,0.854,4.506,0.64,2665097026156407680,582-372-1,346.930955496,6.6047728,53.683,1.853,0.441,0.329,5.462,0.284,1.0,1.0,7.77
6353602673535030144,9480-477-1,346.938852963,-78.66011861,24.088,-20.11,0.621,0.739,3.687,0.246,6353604391521950080,9480-849-1,347.917064963,-78.724007349,23.254,-18.952,0.928,1.028,3.392,0.328,0.9999,0.9653,727.81
6353602673535030144,9480-477-1,346.938852963,-78.66011861,24.088,-20.11,0.621,0.739,3.687,0.246,6353608480330814592,9480-892-1,347.026293137,-78.663805228,24.421,-18.095,0.671,0.6,3.421,0.263,1.0,1.0,63.29
1886648085091041280,2751-21-1,346.980214867,31.458725473,24.501,-24.707,0.03,0.026,8.225,0.36,1910653688100855936,2751-1453-1,347.305775362,31.494525596,23.987,-24.254,0.717,0.403,8.391,0.342,1.0,1.0,1007.83
6490761938736891776,8837-628-1,347.157174465,-59.736825423,60.325,-64.045,0.058,0.064,15.826,0.288,6490761938736891904,8837-1302-1,347.15016255,-59.735574061,62.272,-66.132,0.277,0.31,15.833,0.227,1.0,1.0,13.5
2386290529806585984,6401-362-1,347.202025864,-21.312030075,41.052,13.58,0.894,0.569,4.677,0.308,2386294446817513728,6401-529-1,346.938066595,-21.421137224,41.829,12.497,1.105,1.629,4.819,0.64,1.0,0.9987,968.19
2635301944670858624,5248-97-1,347.33533898,-5.005803081,25.049,0.704,2.168,1.029,3.104,0.635,2635499307008000384,5245-595-1,347.163709883,-4.779051906,21.171,-0.606,0.836,0.612,4.012,0.303,0.9962,0.9139,1022.41
2383080127652171904,6975-393-1,347.366128969,-25.05093204,31.494,-1.401,1.22,0.712,3.08,0.499,2383080127653172480,6975-393-2,347.366167501,-25.052095523,27.269,-2.294,1.851,0.934,4.223,0.729,1.0,1.0,4.19
2815542961667675392,1167-1661-1,347.48739692,14.426197485,-121.556,-85.362,0.035,0.028,39.87,0.411,2815543030387152000,1167-683-1,347.478401402,14.426138832,-107.253,-91.249,0.801,0.86,36.546,0.752,1.0,1.0,31.36
1942532722079086080,3627-1821-1,347.496272096,47.959384122,154.514,-4.892,0.089,0.101,32.825,0.318,1942532722079086208,3627-1822-1,347.489951302,47.958350389,149.55,1.614,0.185,0.202,33.241,0.256,1.0,1.0,15.69
2845265612824497280,2244-531-1,347.598680568,26.871894536,74.742,-12.409,1.459,0.392,6.332,0.377,2845265681543973888,2244-1415-1,347.598371989,26.87509769,74.296,-12.531,1.588,0.428,6.598,0.419,1.0,1.0,11.57
1930424934392442496,3225-2312-1,347.629277113,41.300217909,-97.131,-83.674,0.868,0.338,14.723,0.324,1930425037475113600,3225-2806-1,347.621487124,41.321542286,-97.206,-82.815,0.041,0.043,14.071,0.285,1.0,1.0,79.61
1995235647296795008,3635-2209-2,347.662095857,52.068288326,15.342,-2.792,1.262,0.648,4.958,0.484,1995235681655768960,3635-2209-1,347.663428085,52.068104683,15.294,-5.27,2.709,1.391,4.366,0.411,1.0,1.0,3.02
2208986445807383168,4291-1072-1,347.760093659,65.910984788,31.841,4.605,0.711,0.587,4.167,0.26,2208986445807383296,4291-799-1,347.75009922,65.91061093,32.632,4.421,0.909,0.703,3.793,0.339,1.0,1.0,14.75
1910873315547881472,2755-832-1,347.855266481,32.704949112,42.137,-24.963,0.593,0.351,8.5,0.259,1910873384267357056,2755-1904-1,347.840873388,32.721273692,42.39,-24.526,0.754,0.361,8.64,0.266,1.0,1.0,73.17
1918337934349868288,3221-240-1,347.887296526,40.270640779,24.271,2.299,0.974,0.393,3.84,0.373,1918355732694336000,3221-488-1,347.691752671,40.488972887,24.063,1.769,1.216,0.633,3.649,0.44,0.996,0.9724,951.5
6353604391521950080,9480-849-1,347.917064963,-78.724007349,23.254,-18.952,0.928,1.028,3.392,0.328,6353608480330814592,9480-892-1,347.026293137,-78.663805228,24.421,-18.095,0.671,0.6,3.421,0.263,1.0,0.8707,665.0
2659232780890066560,580-217-1,348.070861551,4.063506402,-16.852,-27.985,2.922,1.136,2.356,0.73,2659324246513284224,580-320-1,348.137343977,4.107467749,-20.718,-29.21,1.98,0.727,3.785,0.575,0.9924,0.9949,286.42
6557067540773277568,7507-317-1,348.14567903,-31.248336372,-3.517,-30.239,1.713,1.327,4.312,0.747,6557070186473131776,7507-307-1,348.005345077,-31.232497906,-0.922,-27.193,1.927,1.497,4.691,0.741,0.9966,0.9375,435.69
1930837732289763840,3225-1559-1,348.151254112,42.70020599,45.224,-1.843,0.814,0.363,5.304,0.339,1930843745243972864,3225-1905-1,348.248475579,42.759611337,45.678,-0.43,0.807,0.594,5.186,0.366,1.0,1.0,334.41
2386641308375949440,6401-164-1,348.152045399,-21.033645553,-4.805,35.393,0.984,0.588,13.796,0.307,2386641514534379520,6401-207-1,348.106214135,-21.024501694,-4.585,38.484,0.927,0.62,14.012,0.299,1.0,1.0,157.48
1916374550179070592,2763-1161-1,348.176490329,36.392108131,-22.465,-37.443,0.819,0.323,4.898,0.293,1916374618898546688,2763-1329-1,348.169173398,36.405883332,-19.157,-37.743,0.912,0.385,4.159,0.297,1.0,1.0,53.93
2714177129276288768,1161-1288-1,348.242903786,9.567808141,-3.114,-11.564,2.379,0.867,2.42,0.664,2714177129276288896,1161-736-1,348.249464236,9.567087839,-8.028,-14.158,2.72,1.006,3.448,0.662,0.9978,0.9984,23.43
2014001871236711936,4279-2563-1,348.260544712,60.359100292,14.209,1.578,1.165,0.551,3.093,0.304,2014002420992855424,4279-2260-1,348.398395938,60.414704194,14.004,2.032,0.803,0.411,3.291,0.258,0.9985,0.9944,316.55
1918292682574033024,3221-3212-1,348.27196441,40.003847152,73.762,2.793,0.394,0.324,5.058,0.248,1918292682574033408,3221-2461-1,348.276951644,40.002828442,74.039,2.613,0.065,0.06,5.077,0.28,1.0,1.0,14.23
2013999156817380736,4279-2481-1,348.369065222,60.360002713,13.714,0.305,1.192,0.693,3.125,0.305,2014001871236711936,4279-2563-1,348.260544712,60.359100292,14.209,1.578,1.165,0.551,3.093,0.304,0.9962,0.9936,193.24
2013999156817380736,4279-2481-1,348.369065222,60.360002713,13.714,0.305,1.192,0.693,3.125,0.305,2014002420992855424,4279-2260-1,348.398395938,60.414704194,14.004,2.032,0.803,0.411,3.291,0.258,0.9912,0.9849,203.72
2009533593422739200,4006-432-1,348.370332586,57.355017616,2.636,-7.068,1.122,0.605,3.513,0.285,2009533593422739328,4006-524-1,348.381444589,57.353312983,0.743,-6.838,1.292,0.547,3.741,0.296,0.9999,0.9994,22.44
2635353140680992896,5246-188-1,348.419905948,-4.804261397,23.847,16.568,1.277,0.953,3.823,0.57,2635376436583600512,5246-269-1,348.374161883,-4.613224928,22.858,15.107,2.128,0.817,5.078,0.718,1.0,0.9997,707.04
1937975727417448576,3229-2546-1,348.454785551,44.597869431,2.808,-9.318,0.046,0.047,6.742,0.243,1937981877810613376,3229-253-1,348.477071236,44.633517485,3.621,-8.506,0.648,0.446,7.076,0.276,0.9998,0.9997,140.47
2214940816670924544,4478-545-1,348.456976829,69.0736256,-4.03,0.779,0.925,0.516,1.3,0.296,2214940816671380480,4478-545-2,348.456349061,69.072878127,-3.386,0.267,1.271,1.47,0.72,0.501,0.9987,0.9966,2.81
2286154157575602432,4609-796-1,348.497071879,80.111220598,21.466,5.703,0.729,0.749,2.0,0.275,2286166595800887040,4609-396-1,348.64900064,80.196874873,20.225,5.852,0.973,0.826,2.211,0.348,0.9995,0.9954,322.23
